"","tconst","m1","m2","m3","m4"
"2276","tt0055824","casablanca","rear window","psycho","dr. strangelove or: how i learned to stop worrying and love the bomb"
"2277","tt0055830","psycho","dr. strangelove or: how i learned to stop worrying and love the bomb","a clockwork orange","blade runner"
"2278","tt0055841","the devil and miss jones","la dolce vita","sexmission","good bye lenin!"
"2279","tt0055850","casablanca","seven samurai","yojimbo","dr. strangelove or: how i learned to stop worrying and love the bomb"
"2280","tt0055852","citizen kane","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey","a clockwork orange"
"2281","tt0055864","pather panchali","dr. strangelove or: how i learned to stop worrying and love the bomb","belle de jour","the wild bunch"
"2282","tt0055871","spartacus","lawrence of arabia","the man who shot liberty valance","back to the future"
"2283","tt0055884","casablanca","12 angry men","lawrence of arabia","the great escape"
"2284","tt0055892","inherit the wind","donnie darko","irreversible","tideland"
"2285","tt0055894","psycho","2001: a space odyssey","blade runner","aliens"
"2286","tt0055895","the wizard of oz","casablanca","to kill a mockingbird","the graduate"
"2287","tt0055910","casablanca","vertigo","psycho","dr. strangelove or: how i learned to stop worrying and love the bomb"
"2288","tt0055913","casablanca","dr. strangelove or: how i learned to stop worrying and love the bomb","a clockwork orange","brazil"
"2289","tt0055928","from russia with love","goldfinger","star wars: episode vi - return of the jedi","die hard"
"2290","tt0055936","paths of glory","2001: a space odyssey","once upon a time in the west","my neighbor totoro"
"2291","tt0055946","ghostbusters","the goonies","big","die hard"
"2292","tt0055950","casablanca","12 angry men","the seventh seal","vertigo"
"2293","tt0055972","casablanca","the bridge on the river kwai","north by northwest","psycho"
"2294","tt0055981","the little foxes","the cranes are flying","breathless","woman in the dunes"
"2295","tt0055992","snow white and the seven dwarfs","the philadelphia story","singin' in the rain","rear window"
"2296","tt0055998","casablanca","2001: a space odyssey","a clockwork orange","donnie darko"
"2297","tt0056023","the philadelphia story","kiss me kate","pillow talk","the sound of music"
"2298","tt0056045","carnival in moscow","welcome, or no trespassing","operation 'y' & other shurik's adventures","watch out for the automobile"
"2299","tt0056048","the wizard of oz","singin' in the rain","my fair lady","the sound of music"
"2300","tt0056049","rashomon","seven samurai","dr. strangelove or: how i learned to stop worrying and love the bomb","the good, the bad and the ugly"
"2301","tt0056058","seven samurai","dr. strangelove or: how i learned to stop worrying and love the bomb","the good, the bad and the ugly","2001: a space odyssey"
"2302","tt0056059","north by northwest","the great escape","star wars: episode vi - return of the jedi","the princess bride"
"2303","tt0056062","the maltese falcon","the big sleep","the good, the bad and the ugly","die hard"
"2304","tt0056072","the pianist","iron man","avatar","interstellar"
"2305","tt0056081","the philadelphia story","singin' in the rain","dr. strangelove or: how i learned to stop worrying and love the bomb","blade runner"
"2306","tt0056085","casablanca","it's a wonderful life","to kill a mockingbird","the great escape"
"2307","tt0056093","the wizard of oz","the ghost and mrs. muir","singin' in the rain","the princess bride"
"2308","tt0056095","the wizard of oz","swiss family robinson","mary poppins","star wars: episode vi - return of the jedi"
"2309","tt0056111","seven samurai","dr. strangelove or: how i learned to stop worrying and love the bomb","andrei rublev","2001: a space odyssey"
"2310","tt0056141","citizen kane","ikiru","tokyo story","the 400 blows"
"2311","tt0056142","godzilla","blade runner","star wars: episode vi - return of the jedi","the terminator"
"2312","tt0056171","singin' in the rain","some like it hot","mary poppins","blade runner"
"2313","tt0056172","citizen kane","casablanca","dr. strangelove or: how i learned to stop worrying and love the bomb","blade runner"
"2314","tt0056173","the wizard of oz","the african queen","the sword in the stone","mary poppins"
"2315","tt0056193","citizen kane","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey","a clockwork orange"
"2316","tt0056194","citizen kane","casablanca","the 400 blows","blade runner"
"2317","tt0056195","citizen kane","casablanca","the bridge on the river kwai","dr. strangelove or: how i learned to stop worrying and love the bomb"
"2318","tt0056196","citizen kane","casablanca","to kill a mockingbird","dr. strangelove or: how i learned to stop worrying and love the bomb"
"2319","tt0056197","casablanca","the bridge on the river kwai","the great escape","patton"
"2320","tt0056210","the great escape","the good, the bad and the ugly","once upon a time in the west","the wild bunch"
"2321","tt0056211","fantasia","bambi","2001: a space odyssey","brazil"
"2322","tt0056215","the seventh seal","vertigo","dr. strangelove or: how i learned to stop worrying and love the bomb","a clockwork orange"
"2323","tt0056217","casablanca","rear window","north by northwest","dr. strangelove or: how i learned to stop worrying and love the bomb"
"2324","tt0056218","citizen kane","casablanca","rear window","dr. strangelove or: how i learned to stop worrying and love the bomb"
"2325","tt0056234","singin' in the rain","breakfast at tiffany's","dr. strangelove or: how i learned to stop worrying and love the bomb","batman"
"2326","tt0056241","the wizard of oz","casablanca","rear window","to kill a mockingbird"
"2327","tt0056253","the snows of kilimanjaro","ivan's childhood","hotel rwanda","the fountain"
"2328","tt0056255","casablanca","it's a wonderful life","north by northwest","mary poppins"
"2329","tt0056262","the wizard of oz","singin' in the rain","the sound of music","the princess bride"
"2330","tt0056264","citizen kane","casablanca","the bridge on the river kwai","blade runner"
"2331","tt0056267","the philadelphia story","some like it hot","the apartment","breakfast at tiffany's"
"2332","tt0056269","the good, the bad and the ugly","a clockwork orange","once upon a time in america","wings of desire"
"2333","tt0056291","citizen kane","rashomon","seven samurai","dr. strangelove or: how i learned to stop worrying and love the bomb"
"2334","tt0056302","casablanca","sunset boulevard","some like it hot","the collector"
"2335","tt0056322","rope","vertigo","the good, the bad and the ugly","cinema paradiso"
"2336","tt0056327","citizen kane","casablanca","sunset boulevard","some like it hot"
"2337","tt0056331","the wizard of oz","forbidden planet","2001: a space odyssey","a clockwork orange"
"2338","tt0056356","sunset boulevard","paths of glory","dr. strangelove or: how i learned to stop worrying and love the bomb","a clockwork orange"
"2339","tt0056357","operation 'y' & other shurik's adventures","kidnapping, caucasian style","catch me if you can","the prestige"
"2340","tt0056371","citizen kane","the maltese falcon","12 angry men","the world of apu"
"2341","tt0056403","casablanca","singin' in the rain","sabrina","north by northwest"
"2342","tt0056406","citizen kane","casablanca","to kill a mockingbird","dr. strangelove or: how i learned to stop worrying and love the bomb"
"2343","tt0056412","citizen kane","the maltese falcon","casablanca","the wild bunch"
"2344","tt0056417","white christmas","indiana jones and the temple of doom","this is spinal tap","back to the future"
"2345","tt0056443","seven samurai","yojimbo","dr. strangelove or: how i learned to stop worrying and love the bomb","blade runner"
"2346","tt0056444","tokyo story","seven samurai","dr. strangelove or: how i learned to stop worrying and love the bomb","ran"
"2347","tt0056504","the philadelphia story","casablanca","a clockwork orange","sophie's choice"
"2348","tt0056512","citizen kane","12 angry men","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey"
"2349","tt0056514","it happened one night","it's a wonderful life","rear window","some like it hot"
"2350","tt0056526","the philadelphia story","singin' in the rain","funny face","vertigo"
"2351","tt0056537","snow white and the seven dwarfs","pather panchali","the world of apu","the wild bunch"
"2352","tt0056541","rear window","north by northwest","psycho","to kill a mockingbird"
"2353","tt0056552","rear window","psycho","pit and the pendulum","the haunting"
"2354","tt0056556","the wizard of oz","casablanca","to catch a thief","cat on a hot tin roof"
"2355","tt0056566","rear window","paths of glory","vertigo","once upon a time in the west"
"2356","tt0056575","casablanca","it's a wonderful life","rear window","north by northwest"
"2357","tt0056576","the gay divorcee","force of evil","the ballad of narayama","the world of apu"
"2358","tt0056579","frankenstein","the day the earth stood still","the magnificent seven","planet of the apes"
"2359","tt0056580","barbarella","star trek ii: the wrath of khan","aliens","batman"
"2360","tt0056592","the wizard of oz","casablanca","rear window","dr. strangelove or: how i learned to stop worrying and love the bomb"
"2361","tt0056625","citizen kane","seven samurai","cool hand luke","the last picture show"
"2362","tt0056626","casablanca","singin' in the rain","rear window","vertigo"
"2363","tt0056628","modern times","the great dictator","inspector palmu's error","gas, inspector palmu!"
"2364","tt0056632","singin' in the rain","rear window","north by northwest","psycho"
"2365","tt0056636","citizen kane","monsieur gangster","the name of the rose","die hard"
"2366","tt0056640","dr. strangelove or: how i learned to stop worrying and love the bomb","the good, the bad and the ugly","the wild bunch","die hard"
"2367","tt0056663","the 400 blows","breathless","dr. strangelove or: how i learned to stop worrying and love the bomb","2001: a space odyssey"
"2368","tt0056671","singin' in the rain","rear window","dr. strangelove or: how i learned to stop worrying and love the bomb","blade runner"
"2369","tt0056687","the wizard of oz","citizen kane","rear window","psycho"
"2370","tt0056700","blow-up","synecdoche, new york","me and you and everyone we know","inland empire"
"2371","tt0056704","the philadelphia story","vertigo","dr. strangelove or: how i learned to stop worrying and love the bomb","blade runner"
